Symbol,Sales Growth Quarterly QoQ,Net Profit Growth Quarterly QoQ,Sales Growth Quarterly YoY,Net Profit Growth Quarterly YoY,Sales Growth Yearly,Net Profit Growth,Mar26 Promoter Holding,Mar26 FII Holding,Mar26 DII Holding,Mar26 Retail holding
LUPIN,4.29%,24.41%,31.89%,87.72%,13.48%,70.82%,46.86,21.7,23.1,8.34
MARICO,-5.77%,-11.30%,22.09%,18.26%,12.20%,10.39%,58.93,24.08,12.28,4.71
MAZDOCK,6.92%,-24.41%,21.29%,117.89%,20.76%,25.90%,81.22,1.73,5.09,11.96
INDUSTOWER,-0.56%,0.96%,4.84%,0.78%,5.32%,64.54%,51.26,25.1,18.88,4.76
GODREJCP,-4.85%,-9.27%,10.99%,9.68%,1.90%,430.44%,53.05,13.94,15.03,17.98
HEROMOTOCO,3.94%,11.42%,30.18%,39.03%,8.30%,16.93%,34.73,31.14,24.77,9.36
AMBUJACEM,6.22%,411.57%,9.37%,37.44%,5.69%,8.95%,67.68,5.87,18.06,8.39
LLOYDSME,19.01%,38.12%,404.46%,646.75%,3.02%,16.65%,61.64,2.26,1.71,34.39
LODHA,0.88%,5.86%,11.58%,8.91%,33.57%,78.01%,72.27,21.24,4.61,1.88
ABCAPITAL,12.61%,12.79%,10.19%,42.88%,19.59%,-0.19%,68.51,7.02,13.51,10.96
BHARATFORG,4.26%,-15.36%,17.53%,-17.77%,-3.57%,0.34%,44.07,14.15,29.82,11.96
RECLTD,-3.02%,-16.71%,-5.02%,-21.69%,18.65%,12.29%,52.63,15.79,14.77,16.81
WAAREEENER,12.10%,1.76%,111.80%,74.76%,26.73%,51.30%,64.19,7.06,4.32,24.43
SHREECEM,27.09%,97.10%,10.29%,-8.25%,-5.49%,-53.10%,62.55,8.94,15.52,12.99
MEESHO,0.39%,66.10%,31.83%,-344.40%,23.31%,-1103.06%,16.57,4.17,5.55,73.71
ICICIGI,1.85%,-17.03%,10.81%,7.25%,0.00%,30.74%,51.29,22.29,17.14,9.28
DABUR,-14.63%,-34.47%,7.35%,16.08%,1.28%,-3.91%,66.25,9.98,17.28,6.49
SRF,24.31%,34.52%,7.00%,10.64%,11.83%,-6.36%,50.26,16.67,19.73,13.34
ICICIPRULI,62.42%,61.15%,17.17%,61.94%,0.00%,39.36%,72.8,10.89,10.87,5.44
OFSS,5.05%,38.07%,20.33%,30.72%,7.43%,7.22%,72.44,8.04,9.12,10.4
PERSISTENT,7.35%,20.44%,25.10%,33.73%,21.56%,28.05%,30.29,22.11,29.47,18.13
IDBI,10.22%,1.43%,11.75%,-4.08%,9.35%,31.68%,94.71,0.56,0.08,4.65
HAVELLS,20.00%,145.90%,2.47%,37.30%,17.15%,15.70%,59.38,16.93,16.52,7.17
AUBANK,6.17%,24.59%,17.53%,65.15%,52.19%,37.22%,22.76,37.27,30.87,9.1
SWIGGY,3.82%,24.91%,44.74%,25.95%,35.38%,-32.62%,,14.59,24.49,60.92
POLICYBZR,16.38%,41.42%,36.70%,57.20%,44.78%,448.30%,,39.92,32.55,27.53
PAYTM,3.19%,-19.03%,18.41%,133.58%,-30.92%,53.37%,,49.4,23.07,27.53
LTF,4.21%,9.64%,18.60%,27.26%,12.49%,12.84%,65.99,7.63,14.91,11.47
INDUSINDBK,-3.23%,364.39%,3.49%,125.51%,6.38%,-71.31%,15.82,28.57,40.38,15.23
NATIONALUM,5.96%,7.29%,-4.84%,-17.35%,27.67%,164.93%,51.28,22.27,10.75,15.7
FEDERALBNK,7.96%,23.96%,11.80%,25.71%,19.27%,6.98%,,26.05,49.48,24.47
BAJAJHFL,0.58%,0.65%,15.92%,14.06%,25.71%,24.93%,86.7,0.99,0.89,11.42
YESBANK,1.45%,13.14%,0.51%,45.36%,12.00%,90.37%,,46.42,21.75,31.83
NAM-INDIA,4.74%,-4.77%,30.39%,28.88%,35.75%,16.22%,71.93,7.35,14.77,5.95
ATGL,3.38%,0.11%,16.60%,5.20%,11.74%,-1.96%,74.8,12.75,6.26,6.19
IOB,3.87%,10.28%,11.19%,43.35%,16.94%,27.38%,92.44,0.43,4.28,2.85
SCHAEFFLER,-5.09%,-1.95%,18.91%,25.61%,17.66%,22.53%,74.13,4.25,16.32,5.3
LAURUSLABS,1.87%,11.38%,5.31%,20.54%,10.18%,110.69%,27.49,25.82,13.96,32.73
PHOENIXLTD,9.99%,31.94%,21.34%,40.17%,-4.13%,-1.87%,47.25,32.97,16.14,3.64
MAHABANK,5.60%,13.20%,15.22%,34.89%,21.73%,36.12%,73.6,5.55,13.89,6.96
BANKINDIA,2.74%,10.90%,5.92%,15.18%,16.76%,46.28%,73.38,7.26,13.73,5.63
JSL,7.79%,-3.31%,11.17%,28.70%,1.94%,-7.19%,62.05,20.87,7.15,9.93
OBEROIRLTY,17.23%,16.47%,52.14%,64.96%,17.58%,15.51%,67.7,15.42,14.13,2.75
BIOCON,8.23%,483.40%,2.25%,-56.77%,3.43%,10.14%,44.91,7.52,24.06,23.51
SBICARD,-3.76%,9.46%,5.57%,14.06%,6.51%,-20.41%,68.92,9.54,17.69,3.85
IDFCFIRSTB,1.30%,-30.92%,12.11%,11.85%,20.37%,-49.35%,,36.52,22.73,40.75
JSWINFRA,12.79%,16.12%,18.64%,-17.83%,18.95%,31.08%,83.62,6.89,2.38,7.11
COFORGE,6.26%,124.54%,30.05%,117.78%,33.76%,13.50%,,30.66,55.2,14.14
HDBFS,1.54%,16.57%,11.24%,41.38%,15.01%,-11.58%,74.12,3.01,12.21,10.66
COROMANDEL,-31.62%,-76.53%,20.35%,-80.73%,9.19%,25.24%,56.35,13.02,17.05,13.58
GODREJPROP,593.90%,167.76%,62.99%,34.73%,62.17%,85.96%,51.66,26.17,7.56,14.61
THERMAX,30.11%,19.14%,12.53%,19.31%,11.43%,-2.56%,61.98,11.25,15.49,11.28
MRF,-0.08%,1.51%,13.70%,37.56%,11.86%,-10.18%,27.77,17.98,11.57,42.68
