,,Mar26 vs Dec25,Mar26 vs Dec25,Mar26 vs Mar25,Mar26 vs Mar25,FY25-26,FY25-26,,,,,,,,,,,,
Symbol,Total Debt to Equity,Sales Growth Quarterly QoQ,Net Profit Growth Quarterly QoQ,Sales Growth Quarterly YoY,Net Profit Growth Quarterly YoY,Sales Growth Yearly,Net Profit Growth,Mar26 Promoter Holding,Mar26 FII Holding,Mar26 DII Holding,Mar26 Retail holding,ROE FY25-26,ROE FY24-25,ROE FY23-24, PEG , FY25-26 Dividend/Share, FY24-25 Dividend/Share, FY23-24 Dividend/Share,  Book Value  
ASTERDM,0.19,-0.29%,140.52%,18.20%,69.66%,11.88%,64.50%, 40.39 , 17.18 , 27.57 , 14.86 ,9.32,4.97,3.98, -   ,123,2,0, 88 
AJANTPHARM, -   ,3.40%,-2.58%,21.47%,18.40%,10.44%,12.77%, 66.25 , 8.26 , 18.36 , 7.13 ,25.06,23.49,17.68,4.03,28,51,7, 362 
UBL,0.13,11.97%,25.53%,-0.42%,4.20%,9.76%,7.68%, 70.83 , 4.94 , 17.83 , 6.40 ,10.37,10.09,7.71,13.95,10,10,7.5, 171 
TATAINVEST, -   ,-30.97%,-17.58%,143.34%,327.88%,-20.37%,-18.93%, 73.38 , 2.62 , 0.54 , 23.46 ,1.02,1.55,1.28,6.29,27,28,48, 578 
NAVINFLUOR,0.55,5.08%,14.68%,33.78%,123.86%,13.77%,6.69%, 27.11 , 23.78 , 27.61 , 21.50 ,11.62,11.94,18.71,17.38,12,15,12, 775 
SONACOMS, -   ,4.81%,24.44%,45.42%,14.16%,11.61%,15.82%, 28.02 , 23.70 , 40.97 , 7.31 ,14.83,21.05,18.47,3.06,3.2,3.06,2.81, 96 
ESCORTS, -   ,-9.52%,-10.55%,21.40%,17.88%,4.49%,19.20%, 68.04 , 5.71 , 11.66 , 14.59 ,11.39,10.75,8.08,0.97,28,18,7," 1,106 "
ATHERENERG,1.47,23.18%,-18.48%,73.75%,57.23%,28.58%,23.35%, 40.77 , 17.21 , 28.97 , 13.05 ,-222.73,-225.9,-245.84, -   ,0,0,0, 67 
GRSE, -   ,11.79%,77.55%,29.06%,24.14%,41.28%,47.62%, 74.50 , 3.51 , 1.69 , 20.30 ,28.11,23.14,17.08,1.15,13.85,9.36,6.2, 229 
BLUESTARCO,0.07,39.20%,175.15%,1.32%,14.98%,23.56%,42.71%, 36.49 , 13.76 , 27.66 , 22.09 ,20.85,21.03,34.13,1.27,9,7,12, 167 
DALBHARAT,0.3,21.08%,208.59%,3.76%,-10.02%,-4.84%,-18.15%, 55.84 , 7.15 , 20.24 , 16.77 ,4.14,5.34,6.84, -   ,9,9,9, 959 
UCOBANK,1.03,0.07%,8.34%,-1.31%,22.79%,14.70%,47.85%, 90.95 , 0.08 , 4.29 , 4.68 ,9.35,6.99,8.5,0.32,0.39,0.28,0, 24 
CHOLAHLDNG,14.05,4.20%,17.22%,16.30%,19.34%,28.38%,23.33%, 46.38 , 13.68 , 26.09 , 13.85 ,41.92,43.25,40.34,0.48,1.3,0.55,0.55, 802 
BANDHANBNK,0.46,-0.05%,159.81%,-0.10%,68.02%,16.32%,23.13%, 38.98 , 22.07 , 22.33 , 16.62 ,11.96,10.84,11.88,0.15,1.5,1.5,1.5, 157 
CENTRALBK,0.66,6.92%,-41.62%,12.07%,-29.13%,9.56%,48.21%, 89.27 , 0.75 , 4.81 , 5.17 ,12.47,9.57,6.52,0.14,0.19,0,0, 39 
HSCL,0.08,8.80%,8.07%,13.50%,33.49%,10.22%,35.17%, 52.50 , 5.98 , 3.21 , 38.31 ,16.62,15.74,10.69,0.3,0.6,0.5,0.25, 93 
EMCURE,0.16,4.49%,5.35%,16.70%,23.58%,18.59%,34.10%, 77.87 , 3.35 , 6.10 , 12.68 ,19.19,19.45,25.21,146.39,3,3,2, 261 
ABSLAMC, -   ,-4.15%,-30.58%,6.85%,-17.96%,24.50%,19.25%, 74.82 , 5.75 , 11.55 , 7.88 ,27.7,28.31,26,2.79,24,13.5,10.25, 140 
EXIDEIND,0.11,12.73%,11.50%,9.22%,15.83%,2.79%,-9.32%, 45.99 , 10.30 , 19.11 , 24.60 ,5.97,7.35,7.58,7.42,2,2,2, 164 
STARHEALTH,0.07,1.80%,-13.16%,13.92%,21731.37%,0.00%,-23.57%, 57.98 , 15.06 , 20.31 , 6.65 ,9.67,14.36,12.42,0.3,0,0,0, 129 
CRISIL, -   ,-2.21%,-3.41%,30.06%,45.93%,11.94%,11.98%, 66.64 , 7.18 , 12.60 , 13.58 ,27.51,29.15,33.61,3.38,61,56,54, 447 
ANANDRATHI,0.02,-0.62%,3.35%,29.67%,40.46%,22.33%,32.16%, 43.11 , 5.78 , 9.10 , 42.01 ,48.65,45.51,40.7,2.29,13,14,14, 115 
ANGELONE,0.62,9.33%,19.16%,38.20%,83.51%,22.63%,4.14%, 28.80 , 12.81 , 18.88 , 39.51 ,27.79,44.48,48.45,1.39,48,34.65,39.85, 67 
HEXT, -   ,-1.68%,20.58%,13.45%,7.49%,12.16%,16.55%, 74.30 , 4.20 , 15.04 , 6.46 ,23.83,23.75,23.01,1.36,11.5,8.75,17.5, 107 
KARURVYSYA,0.1,3.92%,5.07%,15.41%,41.22%,17.84%,20.99%, 2.07 , 19.25 , 39.25 , 39.43 ,17.68,17.24,13.67,0.28,2.6,2.4,2, 146 
MRPL,0.99,-4.13%,-91.74%,3.23%,-67.13%,4.73%,-98.44%, 88.58 , 3.41 , 0.34 , 7.67 ,0.43,31.08,31.11, -   ,0,3,0, 81 
GODIGIT,0.09,6.52%,6.66%,2.41%,29.24%,0.00%,133.90%, 73.01 , 8.01 , 14.62 , 4.36 ,12.98,7.51,1.69,0.25,0,0,0, 50 
PNBHOUSING,3.71,2.95%,26.03%,7.90%,19.15%,8.73%,28.39%, 28.04 , 16.60 , 44.07 , 11.29 ,12.2,11.65,10.07,0.38,5,0,0, 738 
MSUMI,0.01,15.50%,11.95%,32.88%,1.44%,11.91%,-5.08%, 61.73 , 9.74 , 17.41 , 11.12 ,35.9,42.45,39.83,3.26,0.85,0.8,0.65, 3 
LALPATHLAB, -   ,6.50%,44.64%,16.61%,-14.98%,10.54%,35.87%, 53.21 , 17.18 , 21.23 , 8.38 ,25.15,21.27,15.8,4.57,24,24,12, 150 
FORCEMOT,0.01,19.79%,-32.06%,8.23%,-36.29%,15.44%,106.30%, 61.63 , 10.93 , 1.75 , 25.69 ,30.29,18.8,7.38,0.07,40,20,10," 3,183 "
TATAELXSI, -   ,4.22%,102.36%,9.40%,27.80%,4.98%,-0.92%, 43.90 , 11.08 , 10.48 , 34.54 ,29.45,34.62,40.97,3.4,75,70,60.6, 488 
AWL,0.18,15.39%,2.85%,17.75%,52.55%,24.30%,581.65%, 56.94 , 21.86 , 8.37 , 12.83 ,13.12,2.07,7.02,1.77,0,0,0, 80 
MANAPPURAM,2.81,11.08%,69.69%,10.71%,299.24%,13.10%,-45.22%, 31.77 , 23.23 , 12.96 , 32.04 ,10.04,20.75,16.68, -   ,4,3.3,3, 189 
CDSL, -   ,-13.64%,-39.63%,17.09%,-18.64%,33.23%,25.45%, 15.00 , 11.36 , 14.42 , 59.22 ,32.65,31.34,23.93,3.03,12.5,22,16, 94 
ACC, -   ,10.23%,-41.43%,16.87%,-68.52%,9.04%,2.88%, 56.69 , 5.93 , 21.62 , 15.76 ,13.77,15.33,6.22,1.38,7.5,7.5,9.25," 1,094 "
WOCKPHARMA,0.43,8.67%,168.85%,29.88%,464.44%,7.65%,87.92%, 49.08 , 7.08 , 10.95 , 32.89 ,-1.48,-14.12,-17.32,2.98,0,0,0, 304 
TATATECH, -   ,15.12%,31453.97%,22.29%,6.59%,1.00%,-0.36%, 55.18 , 5.77 , 3.31 , 35.74 ,19.97,21.9,23.69,2.98,11.7,10.05,12.3, 97 
NETWEB, -   ,-3.88%,-3.71%,86.59%,65.67%,58.69%,50.82%, 66.98 , 9.29 , 4.68 , 19.05 ,24.35,29.97,69.17,1.7,2.5,2,0.5, 127 
CESC,1.48,2.27%,50.99%,5.65%,18.91%,11.17%,-1.34%, 52.11 , 11.59 , 26.24 , 10.06 ,12.18,12.95,13.12,28.32,4.5,4.5,4.5, 95 
CREDITACC,2.96,7.17%,34.69%,13.55%,619.23%,11.34%,-63.25%, 66.24 , 12.94 , 12.59 , 8.23 ,7.9,24.87,17.87,2.11,0,10,0, 463 
PPLPHARMA,0.59,28.60%,84.70%,-0.08%,-116.32%,11.99%,411.39%, 34.86 , 30.17 , 15.61 , 19.36 ,1.14,0.24,-2.77, -   ,0.14,0.11,0, 61 
ACUTAAS,0.01,10.06%,26.42%,40.28%,114.09%,40.34%,229.35%, 32.66 , 19.48 , 19.60 , 28.26 ,16.19,7.7,14.92,2.05,1.5,3,3, 202 
RRKABEL,0.1,16.89%,43.02%,33.65%,30.01%,15.52%,4.52%, 61.65 , 9.10 , 13.33 , 15.92 ,15.67,21.07,20.67,3.34,6,6,4.5, 228 
AADHARHFC,2.56,4.44%,10.57%,18.25%,26.99%,20.13%,21.64%, 64.90 , 6.13 , 9.15 , 19.82 ,16.93,18.5,16,0.74,0,0,0, 173 
HFCL,0.37,50.66%,82.90%,127.81%,325.29%,-8.97%,-48.67%, 28.29 , 7.08 , 7.02 , 57.61 ,4.32,9.6,10.82, -   ,0.1,0.2,0.2, 32 
URBANCO, -   ,11.21%,-992.92%,47.80%,-167.22%,38.22%,358.45%, 19.02 , 55.77 , 10.74 , 14.47 ,21.85,-10.54,-28.95, -   ,0,0,0, 15 
CRAFTSMAN,0.72,8.22%,8.68%,27.28%,74.49%,27.83%,-40.45%, 48.70 , 15.19 , 27.64 , 8.47 ,8.9,22.23,19.98,7.78,5,11.25,11.25," 1,368 "
RBLBANK,0.89,1.48%,7.23%,7.03%,180.97%,13.29%,-43.08%, -   , 20.23 , 43.29 , 36.48 ,4.75,8.95,7.08,0.09,1,1.5,1.5, 270 
GALLANTT,0.13,12.22%,22.33%,12.37%,5.61%,1.55%,77.84%, 70.00 , 0.09 , 0.08 , 29.83 ,15.14,9.64,9.51,0.47,1.25,1,0, 137 
ATUL,0.04,6.13%,28.93%,15.05%,62.70%,18.15%,53.90%, 45.22 , 7.50 , 25.89 , 21.39 ,9.31,6.62,11.13, -   ,25,20,32.5," 2,113 "
CAMS, -   ,1.30%,0.96%,10.96%,11.57%,25.16%,32.40%, -   , 44.44 , 22.06 , 33.50 ,48.11,44.15,42.3,2.5,72.5,46.5,37.75, 53 
KPITTECH, -   ,5.78%,22.42%,11.95%,-26.93%,19.93%,40.28%, 39.42 , 13.25 , 24.11 , 23.22 ,34.01,32.01,26.55,0.7,8.5,6.7,4.1, 129 
TATACHEM,0.29,-3.15%,-1927.36%,-2.02%,-2261.54%,-3.46%,-21.16%, 37.98 , 11.90 , 22.83 , 27.29 ,1.62,2.14,12.91, -   ,11,15,17.5, 870 
IIFL,4.17,7.73%,24.32%,42.50%,147.96%,-0.38%,-70.71%, 24.85 , 28.16 , 7.09 , 39.90 ,5.07,20.19,20.83, -   ,0,4,4, 327 
FSL,0.38,5.75%,70.56%,19.52%,27.72%,25.95%,15.49%, 53.66 , 8.85 , 25.49 , 12.00 ,15.54,14.8,16.35,8.28,4,3.5,3.5, 62 
CUB,0.23,5.69%,8.25%,21.07%,24.86%,10.69%,10.62%, -   , 23.37 , 40.73 , 35.90 ,12.58,12.81,13.35,1.05,2,1.5,1, 142 
CGCL,3.65,13.49%,10.72%,44.67%,59.12%,40.41%,71.27%, 59.92 , 5.62 , 19.96 , 14.50 ,11.86,7.61,7.51,0.61,0.2,0.15,0.5, 75 
GRANULES,0.35,5.96%,34.19%,22.81%,32.59%,-0.55%,23.74%, 38.02 , 15.31 , 17.01 , 29.66 ,14.52,13.46,19.18,4.67,1.5,1.5,1.5, 205 
EMMVEE,3.63,50.91%,48.83%,229.14%,295.54%,145.36%,1176.91%, 80.03 , 2.45 , 12.28 , 5.24 ,104.6,18.69,6.39, -   ,0,0,0, 53 
BRIGADE,0.94,-7.46%,-8.08%,-0.19%,-24.01%,3.63%,69.68%, 41.11 , 16.75 , 24.74 , 17.40 ,14.94,11.93,7.25,0.09,2.5,2,2, 279 
SYNGENE,0.03,13.02%,886.00%,1.82%,-19.31%,4.41%,-2.71%, 52.68 , 13.91 , 26.44 , 6.97 ,11.23,13.18,13.73,7.46,1.25,1.25,1.25, 120 
CASTROLIND, -   ,7.31%,-1.02%,8.67%,3.74%,6.65%,2.45%, 51.00 , 8.48 , 14.66 , 25.86 ,47.8,43.94,44.69,3.65,8.75,13,7.5, 21 
AARTIIND,0.68,-4.87%,3.01%,13.19%,42.71%,14.14%,-20.55%, 42.09 , 7.38 , 20.11 , 30.42 ,6.08,8.16,11.56, -   ,1,1,2.5, 164 
KAJARIACER,0.06,17.56%,79.00%,12.40%,133.07%,3.60%,-21.46%, 47.69 , 10.23 , 27.47 , 14.61 ,13.08,18.03,15.6, -   ,9,12,9, 192 
IFCI,0.43,3.20%,63.59%,13.74%,-86.92%,-5.56%,44.62%, 72.57 , 2.65 , 1.64 , 23.14 ,5.48,6.51,-3.87,0.61,0,0,0, 33 
ACMESOLAR,2.32,10.28%,21.63%,12.52%,13.29%,6.51%,-64.05%, 83.29 , 3.60 , 7.05 , 6.06 ,7.8,43.73,-0.25,0.58,0.2,0,0, 81 
VTL,0.13,-0.29%,16.77%,-0.42%,-20.57%,2.95%,39.27%, 65.09 , 5.69 , 16.01 , 13.21 ,9.34,7.21,9.9, -   ,5,4,3.5, 363 
ABREL,1.31,1.77%,0.88%,-79.07%,13.61%,10.75%,-215.98%, 50.21 , 9.04 , 16.38 , 24.37 ,-3.82,3.27,8.48, -   ,2,5,5, 331 
CEMPRO,0.51,28.42%,118.39%,17.42%,113.63%,17.87%,36.16%, 67.46 , 7.31 , 1.94 , 23.29 ,22.44,20.08,10.53,0.36,2,1.7,0.75, 140 
CHENNPETRO,0.38,5.23%,41.78%,-0.61%,211.07%,-10.59%,-92.20%, 67.29 , 12.59 , 2.11 , 18.01 ,2.51,35.89,74.65, -   ,5,55,27, 746 
KFINTECH, -   ,-6.35%,-11.40%,22.86%,-4.10%,30.23%,35.19%, 22.86 , 26.26 , 25.22 , 25.66 ,26.41,24.77,26.31,1.49,7.5,5.75,0, 97 
SCI,0.23,-6.11%,5.10%,14.19%,139.84%,11.08%,24.24%, 63.75 , 8.98 , 2.49 , 24.78 ,10.64,9.4,13.52, -   ,6.59,0.5,0.44, 192 
J&KBANK,0.18,-1.25%,36.02%,1.87%,36.62%,11.84%,17.87%, 59.40 , 8.35 , 6.00 , 26.25 ,17.46,18.12,15.32,0.11,2.15,2.15,0.5, 136 
CHOICEIN,0.57,1.10%,3.38%,21.23%,26.76%,21.27%,24.34%, 53.65 , 11.41 , 0.35 , 34.59 ,23.78,26.32,15.08,1.57,0,0,0, 73 
SOBHA,0.25,110.77%,486.79%,60.23%,125.04%,30.41%,92.79%, 52.88 , 6.23 , 26.10 , 14.79 ,2.68,1.96,4.24, -   ,3,3,3, 441 
NIVABUPA,0.08,35.66%,493.80%,29.10%,67.47%,0.00%,160.87%, 55.36 , 10.60 , 16.45 , 17.59 ,8.36,5.68,1.87, -   ,0,0,0, 20 
CCL,0.93,16.55%,14.22%,46.49%,12.43%,17.03%,24.10%, 46.11 , 11.24 , 21.43 , 21.22 ,17.23,15.91,20.8,2.59,5,4.5,5.5, 176 
ZENTEC,0.03,0.15%,-13.11%,-45.20%,-57.24%,121.36%,131.14%, 48.51 , 5.99 , 10.06 , 35.44 ,27.92,34.13,16.83,0.2,2,1,0.2, 209 
USHAMART,0.12,6.78%,46.24%,9.28%,55.79%,7.72%,-4.20%, 40.52 , 14.76 , 14.63 , 30.09 ,15.84,19.23,18.83,2.64,3,2.75,2.5, 108 
APTUS,1.59,3.75%,10.48%,18.66%,26.05%,28.22%,22.77%, 23.87 , 30.34 , 29.43 , 16.36 ,18.64,17.26,16.11,0.56,4.5,4.5,4, 101 
THELEELA,1.1,5.90%,12.79%,14.06%,44.73%,11.02%,2340.62%, 75.91 , 8.62 , 10.51 , 4.96 ,13.04,0,0,0.23,0,0,0, 193 
SPLPETRO, -   ,25.49%,457.35%,3.12%,57.21%,14.66%,12.71%, 64.24 , 3.68 , 4.24 , 27.84 ,18.38,17.94,29.66, -   ,10,9,9, 126 
FIVESTAR,1.26,0.23%,-2.80%,8.60%,-3.53%,30.46%,28.30%, 18.61 , 48.47 , 17.58 , 15.34 ,18.81,17.75,15.17,0.37,2,0,0, 250 
CANHLIFE, -   ,6.75%,25.61%,52.63%,18.45%,0.00%,-98.97%, 62.00 , 5.67 , 29.79 , 2.54 ,7.97,8.18,6.9,0.85,0.4,0.2,0, 17 
CEATLTD,0.44,1.49%,58.16%,23.34%,155.67%,10.67%,-25.80%, 47.29 , 16.54 , 20.90 , 15.27 ,11.21,16.98,5.43,0.22,30,30,12," 1,247 "
JPPOWER,0.31,19.98%,-454.64%,3.39%,-108.59%,-19.23%,-20.39%, 24.00 , 6.58 , 17.03 , 52.39 ,10.08,14.29,0.84,0.3,0,0,0, 13 
GRAVITA,0.14,15.31%,-5.83%,13.08%,-3.28%,22.40%,29.15%, 55.88 , 13.94 , 5.14 , 25.04 ,21.53,33.97,41.83,1.22,5.2,0,4.35, 332 
INDGN, -   ,6.51%,-22.55%,32.80%,-32.23%,9.64%,20.79%, -   , 10.27 , 8.29 , 81.44 ,20.45,27.56,29.5,0.89,2,0,0, 130 
INDIACEM,0.24,10.27%,2328.46%,2.60%,141.97%,-16.99%,46.05%, 75.00 , 3.48 , 12.90 , 8.62 ,-2.48,-4.4,-3.13, -   ,0,0,0, 327 
INDIAMART, -   ,0.67%,-69.00%,13.86%,-67.19%,16.01%,64.90%, 49.12 , 19.17 , 13.54 , 18.17 ,28.63,17.9,14.58,1.16,50,20,20, 399 
ELECON, -   ,35.14%,-91.67%,-6.51%,-95.83%,14.94%,16.74%, 59.27 , 7.13 , 5.67 , 27.93 ,23.04,24.67,20.39,0.85,2,3,2, 103 
HOMEFIRST,3.88,3.98%,6.59%,20.92%,42.75%,34.51%,24.97%, 6.99 , 45.72 , 27.50 , 19.79 ,16.81,15.78,13.62,0.86,3.7,3.4,2.6, 417 
UTIAMC, -   ,-24.53%,-137.33%,3.82%,-150.44%,6.57%,1.36%, -   , 7.11 , 60.07 , 32.82 ,18.36,19.79,11.96,2.07,48,47,22, 351 
VIJAYA, -   ,6.91%,11.00%,26.63%,37.49%,24.39%,20.19%, 52.51 , 13.38 , 29.93 , 4.18 ,19.84,19.96,16.89,7.83,2,1,1, 99 
PCBL,1.5,11.94%,1891.09%,-1.03%,-59.86%,30.91%,-11.49%, 53.38 , 5.56 , 10.99 , 30.07 ,12.72,16.16,16.24,93.68,5.5,5.5,5.5, 102 
ZENSARTECH, -   ,1.38%,5.41%,6.73%,19.39%,7.73%,-2.29%, 49.00 , 10.51 , 23.66 , 16.83 ,17.23,20.52,11.66,1,13,9,5, 207 
IEX, -   ,19.65%,9.08%,22.53%,11.06%,19.62%,22.35%, -   , 14.16 , 30.26 , 55.58 ,41.37,40.35,41.56,2.09,3,2.5,1, 15 
NUVOCO,0.42,22.41%,185.21%,8.69%,-14.94%,-3.51%,-85.18%, 72.02 , 4.88 , 18.35 , 4.75 ,0.24,1.65,0.18, -   ,0,0,0, 286 
CANFINHOME,6.88,0.08%,30.55%,7.52%,47.77%,10.08%,14.18%, 29.99 , 13.37 , 24.61 , 32.03 ,18.22,18.79,18.51,0.49,12,6,3.5, 449 
MGL, -   ,-0.40%,-34.99%,4.95%,-45.83%,15.48%,-19.01%, 32.50 , 24.13 , 21.01 , 22.36 ,18.89,27.71,19.11, -   ,30,30,26, 651 
HEG,0.13,-8.09%,-202.64%,12.42%,-149.78%,-9.82%,-63.09%, 56.28 , 10.23 , 8.62 , 24.87 ,2.59,7.16,12.99, -   ,1.8,22.5,42.5, 247 
AAVAS,3.22,6.00%,6.84%,12.33%,18.21%,16.70%,17.00%, 48.88 , 16.74 , 22.13 , 12.25 ,14.32,14.13,14.33,1.02,0,0,0, 637 
INTELLECT, -   ,15.81%,340.67%,16.68%,-14.85%,-0.26%,3.63%, 29.73 , 25.57 , 7.10 , 37.60 ,13.42,15.21,14.66, -   ,7,3.5,2.5, 213 
RKFORGE,0.67,10.77%,315.29%,28.46%,-69.45%,2.00%,-2.89%, 43.33 , 21.75 , 4.45 , 30.47 ,11.66,17.22,21.01,8.26,2,2,2, 181 
RAILTEL, -   ,82.70%,127.16%,27.56%,24.94%,35.43%,21.77%, 72.84 , 3.72 , 0.99 , 22.45 ,15.67,14.17,11.9,2.46,2.85,2.85,2.55, 70 
SBFC,1.68,6.69%,4.01%,25.92%,30.05%,28.14%,45.63%, 52.35 , 6.21 , 21.97 , 19.47 ,11.72,10.66,10.11,0.32,0,0,0, 34 
BSOFT, -   ,0.08%,46.74%,2.41%,44.09%,1.84%,-17.15%, 40.39 , 13.64 , 23.35 , 22.62 ,16.33,23.27,13.35,5.31,6.5,6.5,3.5, 147 
CYIENT,0.04,4.24%,-32.46%,0.93%,-64.74%,2.98%,-7.75%, 23.28 , 15.33 , 40.97 , 20.42 ,13.74,18.45,15.8,3.14,26,30,26, 511 
TARIL,0.23,6.23%,20.30%,15.70%,-2.97%,56.23%,360.45%, 64.36 , 8.33 , 1.77 , 25.54 ,23.96,9.91,11.28,0.25,0.2,0.2,0.15, 50 
CARTRADE, -   ,-3.11%,15.17%,19.84%,53.65%,30.85%,76.45%, -   , 60.15 , 12.07 , 27.78 ,7.65,4.52,2.26,0.2,0,0,0, 518 
TEJASNET,0.88,8.44%,-7.52%,-82.55%,-194.35%,261.13%,609.00%, 53.40 , 5.29 , 4.32 , 36.99 ,13.31,2.13,-1.64, -   ,2.5,0,0, 165 
TTML,-1.04,0.42%,486.18%,-4.13%,289.59%,9.77%,-3.82%, 74.36 , 2.60 , 0.17 , 22.87 ,0,0,0, -   ,0,0,0, -101 
SONATSOFTW,0.26,-17.67%,25.05%,-3.10%,21.36%,17.93%,37.66%, 28.17 , 8.74 , 25.54 , 37.55 ,27.55,22.99,37.85,4.38,4.4,7.9,15.75, 68 
NEWGEN, -   ,13.09%,69.21%,5.30%,-1.88%,19.54%,25.29%, 53.52 , 14.48 , 8.85 , 23.15 ,23.97,23.51,20.06,0.98,5,4,5, 125 
SAPPHIRE,0.01,-2.66%,-162.37%,11.37%,-724.75%,11.09%,-67.85%, 26.07 , 28.98 , 37.49 , 7.46 ,1.25,4.1,20.86, -   ,0,0,0, 43 
